subject_id,story,strategy,altruistic_status_second,annoyed,satisfied,understood,pass_attention
6948e7ab6695b2dbe71864e7ce48f43d,weekend,alternating,less,0,5,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,group project,repeating,just_met,2,2,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,housemates,alternating,less,0,5,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,feedback,repeating,more,3,2,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,concerts,alternating,equal,0,6,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,groceries,alternating,equal,0,6,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,police,repeating,equal,0,6,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,scheduling,repeating,just_met,0,5,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,gifts,alternating,just_met,0,6,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,coffee,repeating,less,0,5,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,restaurant,alternating,just_met,0,4,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,babysitting,repeating,more,0,4,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,meeting prep,repeating,equal,2,2,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,architects,alternating,more,2,1,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,family meals,repeating,less,3,1,yes,TRUE
6948e7ab6695b2dbe71864e7ce48f43d,fundraising,alternating,more,2,2,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,concerts,alternating,just_met,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,housemates,alternating,more,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,group project,repeating,less,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,architects,repeating,more,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,feedback,repeating,equal,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,coffee,repeating,less,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,scheduling,alternating,just_met,0,5,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,police,alternating,less,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,weekend,alternating,less,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,gifts,repeating,just_met,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,groceries,alternating,equal,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,restaurant,alternating,more,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,meeting prep,repeating,just_met,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,family meals,alternating,equal,0,6,yes,TRUE
0334bd683c98bf8ad3c57a1b1d7b4718,babysitting,repeating,more,0,6,yes,TRUE
