subject_id,time_elapsed,gender,age,understood,comments
8b4d3b75b57792a8159b7e8812f8fe2a,1133650,male,32,yes,One of the questions had the same options twice. I forgot the names though.
2d9ab09121aae9901385e47553da7409,944131,male,35,yes,NA
6472c6d2771b5a3c87d8641cf079fb36,1080380,male,29,yes,no
1d9a159210c5557e39f11c086774ed04,600790,male,25,yes,NA
73fd20114a8c4b966151dd55ae339e79,470595,male,20,yes,NA
51532fa4519aae70427dfd7eb1587da6,1616301,male,22,yes,NA
fc54b1d937c09124366b1e46529945b7,663157,female,29,yes,NA
cc0f4448fd2386af4c99b2685de55074,505434,female,23,yes,NA
89504b39eec94a7ae1180c06a281115c,744944,male,55,yes,NA
d9020c5d5812030038a6f308412257c9,684597,male,21,yes,NA
6b32911b94914f9a5e6e29880dc863fe,1201794,female,27,yes,"One of the questions had the same options for both choices, it was the one with Caroline and Bella, but both options were about Caroline."
a696a704e66299e2941ce3e66e962537,462539,female,31,yes,NA
68dc7f8bccd575731bd45952e55dcf14,711574,male,36,yes,"none
"
bc9e428d68298b52ed5f3e64aebcb5b8,2992500,female,30,yes,N/A
f9f257fae23e2826aa0ad033aaef7d44,564366,female,21,yes,NA
cea6d89c1e3c5d3357fa79f74bbdb6d4,542439,female,48,yes,The Caroline and Bella question listed the same answer.
bf475e3642199c11509f1a3576e605f1,343609,female,25,yes,NA
1138b7744f921727c6ebcdd2ab827845,1028417,male,23,yes,NA
4c9d1fa408d25c02684bd4b15793688b,565608,nonconforming,25,yes,"I don't know if it was intentional, but one of the prompts with ""Caroline"" had only Caroline for either response."
6d2760fc382c5579bc11b56d3c00aff5,921907,female,20,yes,NA
ce3f16170aa604dee81ba1246e53602e,642944,male,52,yes,NA
ef349ec7e7fa13d3a5967de4535238ae,2836154,male,52,yes,None
0ed3cb686433d35548d02e268352340c,681669,female,38,yes,NA
da5c63977fe5461c868814092c90ad57,628056,female,25,yes,NA
2d752c1a602a475ee2bbcffbdde925d1,623975,male,28,yes,NA
0d4deaaace62d9617e50b89720c6521f,1076872,male,37,yes,NA
b93ca1c798f188a466494855066ce816,977720,female,55,yes,"On the 2nd question, one of the answers said that both of the people woke up early and slept in which doesn't make any sense, they either did one or the other - also in the question about a person named Caroline, both of the answers were the same"
36dc12c696d9316f6f4f5e955d547e6b,1156174,male,19,yes,NA
cdd4d726d37c3ef62285d82541873d29,699981,male,28,yes,NA
3d2dd7a7e273b1cadaff4a6e8b67eed0,1223303,female,51,yes,NA
